,shapley,equal_split,pv_proportional,contribution_proportional,least_core
H1,0.27187172224998424,0.3248973122628569,0.7833526766749511,0.5470137330637147,0.07174878655842587
H2,0.29855435201431096,0.3248973122628569,0.0,0.18417825351311598,0.41882596758987756
H3,0.18355144229774595,0.3248973122628569,0.5643112484696456,0.3277649538489528,0.06529048392383185
H4,0.5457343742725081,0.3248973122628569,0.0,0.23867569433345662,0.7837516435024737
H5,0.20746329061773897,0.3248973122628569,0.5672210963926212,0.434508391369491,0.05996529996186517
H6,0.5980175343862746,0.3248973122628569,0.0,0.30280375802227616,0.8437834107783212
H7,0.2748691305015639,0.3248973122628569,0.6842934765656371,0.5642337139518476,0.08220560744735861
H8,0.21911665176272854,0.3248973122628569,0.0,0.0,0.273607298340701
