coalition,size,v_S
H1+H4+H6+H7,4,1.7653965155234141
H1+H4+H5+H6,4,1.6825506166867905
H4+H5+H6+H7,4,1.6816629146402708
H3+H4+H6+H7,4,1.6133105540989616
H1+H3+H4+H6,4,1.6118013000367761
H3+H4+H5+H6,4,1.462966442320265
H2+H3+H6+H7,4,1.4101054697393902
H1+H2+H3+H6,4,1.3996486488504565
H1+H2+H6+H7,4,1.3929796371969614
H1+H2+H5+H6,4,1.3830118179774589
H2+H5+H6+H7,4,1.381176556257643
H2+H3+H4+H7,4,1.3500737024635403
H1+H2+H4+H7,4,1.3449801747044163
H2+H3+H5+H6,4,1.3446479326488952
H1+H2+H3+H4,4,1.3396168815746083
H1+H2+H4+H5,4,1.334291697612644
H2+H4+H5+H7,4,1.3331770937650975
H3+H6+H7+H8,4,1.2648868004902125
H4+H6+H7+H8,4,1.2634369686347058
H1+H6+H7+H8,4,1.258711694483809
H1+H4+H6+H8,4,1.2541696873835377
H2+H3+H4+H5,4,1.2519564939682106
H1+H5+H6+H8,4,1.2487438752643056
H5+H6+H7+H8,4,1.2469086135444911
H3+H5+H6+H8,4,1.2424405034007409
H1+H3+H6+H8,4,1.2421236516395666
H1+H4+H7+H8,4,1.2107122319912635
H3+H4+H7+H8,4,1.2009732327487663
H4+H5+H7+H8,4,1.198909151051946
H1+H4+H5+H8,4,1.1890730283634663
H3+H4+H5+H8,4,1.171222695859977
H2+H6+H7+H8,4,1.1661988842721596
H1+H3+H4+H8,4,1.1652650339887556
H1+H2+H6+H8,4,1.1569316030209906
H1+H2+H4+H6,4,1.154462990086555
H4+H5+H6+H8,4,1.0967998844458666
H2+H4+H7+H8,4,1.0569572760552717
H1+H2+H4+H8,4,1.0476899948041032
H2+H5+H6+H8,4,0.99956180008332
H1+H3+H6+H7,4,0.9957026290139908
H3+H4+H6+H8,4,0.9898974609977538
H1+H3+H5+H6,4,0.9896565009717042
H3+H5+H6+H7,4,0.9832430502416916
H2+H4+H6+H7,4,0.9675437404078711
H1+H3+H4+H7,4,0.9516248576986612
H1+H5+H6+H7,4,0.9472732188071111
H1+H3+H4+H5,4,0.9416570384791578
H3+H4+H5+H7,4,0.9398217767593433
H1+H4+H5+H7,4,0.9072916463469012
H2+H3+H4+H6,4,0.8979500239234675
H2+H3+H6+H8,4,0.8926593766352076
H2+H4+H5+H8,4,0.8903201918664321
H1+H2+H7+H8,4,0.8255469887035778
H2+H4+H5+H6,4,0.8187456983159649
H2+H5+H7+H8,4,0.8187021145919382
H2+H3+H7+H8,4,0.8170922361065669
H1+H2+H5+H8,4,0.8081844539362093
H2+H3+H4+H8,4,0.7834177684183201
H2+H3+H5+H8,4,0.7783927624915323
H1+H2+H3+H8,4,0.7672090564787748
H1+H2+H3+H7,4,0.5731560655949006
H2+H3+H5+H7,4,0.5663111914832606
H1+H2+H3+H5,4,0.5608769100396058
H1+H2+H5+H7,4,0.5343116154003429
H2+H4+H6+H8,4,0.44562794494197444
H1+H5+H7+H8,4,0.29637560349076963
H3+H5+H7+H8,4,0.29205627292503733
H1+H3+H7+H8,4,0.2809117555977947
H1+H3+H5+H8,4,0.260246597695974
H1+H3+H5+H7,4,0.038742653570022156
H1+H4+H6+H7+H8,5,1.9751622112214204
H1+H2+H4+H6+H7,5,1.9436190499238792
H4+H5+H6+H7+H8,5,1.8378122613307273
H1+H4+H5+H6+H8,5,1.8285449800795588
H1+H3+H4+H6+H7,5,1.821774298815741
H1+H3+H4+H5+H6,5,1.811806479596238
H3+H4+H5+H6+H7,5,1.8099712178764218
H1+H4+H5+H6+H7,5,1.7910596133349022
H2+H4+H5+H6+H7,5,1.7862894387238373
H1+H2+H4+H5+H6,5,1.7859389204232246
H3+H4+H6+H7+H8,5,1.7309098378826153
H1+H3+H4+H6+H8,5,1.7216425566314468
H1+H2+H6+H7+H8,5,1.6901710707146846
H2+H3+H4+H6+H7,5,1.688303778226282
H1+H2+H3+H4+H6,5,1.6790364969751135
H2+H5+H6+H7+H8,5,1.6783875841181235
H1+H2+H5+H6+H8,5,1.6679307632291902
H2+H3+H6+H7+H8,5,1.63367175352007
H1+H2+H4+H7+H8,5,1.6301393034388347
H1+H2+H3+H6+H8,5,1.6244044722689006
H2+H4+H5+H7+H8,5,1.6153174051528554
H1+H2+H4+H5+H8,5,1.6078989959533416
H3+H4+H5+H6+H8,5,1.5642727536937748
H2+H3+H4+H7+H8,5,1.5244301453031817
H2+H3+H4+H5+H6,5,1.5216666940374424
H1+H2+H3+H4+H8,5,1.5151628640520132
H2+H3+H5+H6+H8,5,1.4670346693312295
H1+H2+H3+H6+H7,5,1.4493574204892887
H1+H2+H3+H5+H6,5,1.4393896012697853
H2+H3+H5+H6+H7,5,1.4375543395499704
H1+H2+H5+H6+H7,5,1.4186427350084507
H1+H2+H3+H4+H7,5,1.4013579579967423
H1+H2+H3+H4+H5,5,1.3913901387772398
H2+H3+H4+H5+H7,5,1.3895548770574244
H1+H2+H4+H5+H7,5,1.3706432725159052
H2+H3+H4+H5+H8,5,1.357793061114343
H2+H4+H6+H7+H8,5,1.322137220351883
H1+H2+H4+H6+H8,5,1.3128699391007137
H3+H5+H6+H7+H8,5,1.3032863968368176
H1+H3+H6+H7+H8,5,1.3018166126770918
H1+H3+H5+H6+H8,5,1.2867574625660758
H1+H5+H6+H7+H8,5,1.2843747922952975
H3+H4+H5+H7+H8,5,1.247870022640968
H1+H3+H4+H7+H8,5,1.2433723489041624
H1+H4+H5+H7+H8,5,1.2346439472813446
H1+H3+H4+H5+H8,5,1.2245159824933198
H2+H4+H5+H6+H8,5,1.1555001361630426
H2+H3+H4+H6+H8,5,1.0485977127149306
H1+H3+H5+H6+H7,5,1.0102056010993263
H1+H3+H4+H5+H7,5,0.9702240286391168
H1+H2+H3+H7+H8,5,0.8686617266276349
H2+H3+H5+H7+H8,5,0.8628985485856449
H1+H2+H5+H7+H8,5,0.8503425898333399
H1+H2+H3+H5+H8,5,0.8479965687258151
H1+H2+H3+H5+H7,5,0.5903245872335225
H1+H3+H5+H7+H8,5,0.3025599008182098
H1+H2+H3+H4+H6+H7,6,2.265605899800291
H1+H2+H4+H5+H6+H7,6,2.240792713632984
H2+H3+H4+H5+H6+H7,6,2.2079468869828114
H1+H2+H3+H4+H5+H6,6,2.2064376329206254
H1+H3+H4+H6+H7+H8,6,2.1203872305511133
H3+H4+H5+H6+H7+H8,6,2.1086037439545526
H1+H4+H5+H6+H7+H8,6,2.1065247709198314
H1+H3+H4+H5+H6+H8,6,2.0981469230656202
H1+H2+H4+H6+H7+H8,6,2.0538823159855752
H2+H4+H5+H6+H7+H8,6,1.896512513047905
H1+H2+H4+H5+H6+H8,6,1.8872452317967365
H1+H3+H4+H5+H6+H7,6,1.8474373966272295
H2+H3+H4+H6+H7+H8,6,1.789610089599793
H1+H2+H3+H4+H6+H8,6,1.7803428083486246
H1+H2+H3+H6+H7+H8,6,1.7554615546385177
H2+H3+H5+H6+H7+H8,6,1.7436780680419561
H1+H2+H5+H6+H7+H8,6,1.7341078925933795
H1+H2+H3+H5+H6+H8,6,1.7332212471530228
H1+H2+H3+H4+H7+H8,6,1.6954297873626665
H1+H2+H4+H5+H7+H8,6,1.6861084301008349
H2+H3+H4+H5+H7+H8,6,1.6836463007661076
H1+H2+H3+H4+H5+H8,6,1.669759592607872
H2+H3+H4+H5+H6+H8,6,1.6229730054109526
H1+H2+H3+H5+H6+H7,6,1.4750205183007763
H1+H2+H3+H4+H5+H7,6,1.4270210558082326
H1+H3+H5+H6+H7+H8,6,1.3182207481503765
H1+H3+H4+H5+H7+H8,6,1.259776484377447
H1+H2+H3+H5+H7+H8,6,0.8903098718480509
H1+H2+H4+H5+H6+H7+H8,7,2.5338880141790234
H1+H2+H3+H4+H6+H7+H8,7,2.498304240778306
H2+H3+H4+H5+H6+H7+H8,7,2.363985382295814
H1+H2+H3+H4+H5+H6+H8,7,2.3547181010446474
H1+H2+H3+H4+H5+H6+H7,7,2.29717049692531
H1+H3+H4+H5+H6+H7+H8,7,2.162902554212158
H1+H2+H3+H5+H6+H7+H8,7,1.790485675885706
H1+H2+H3+H4+H5+H7+H8,7,1.7424862133931613
H1+H2+H3+H4+H5+H6+H7+H8,8,2.599178498102855
