coalition,size,v_S
H1,1,0.0
H2,1,0.0
H3,1,0.0
H4,1,0.0
H5,1,0.0
H6,1,0.0
H7,1,0.0
H8,1,0.0
H1+H6,2,0.9076156198678871
H6+H7,2,0.8671317773744718
H4+H7,2,0.8577808956555266
H1+H4,2,0.8555004300609008
H5+H6,2,0.7991488109120777
H3+H6,2,0.7326528135445207
H4+H5,2,0.7288144644113257
H3+H4,2,0.6234112053276326
H1+H2,2,0.48719927904888927
H2+H7,2,0.4853640173290741
H2+H3,2,0.4776941420294629
H2+H5,2,0.4753961981095711
H6+H8,2,0.36648625567012116
H7+H8,2,0.2704081277046222
H4+H8,2,0.2572446474532333
H5+H8,2,0.23463165561509403
H1+H8,2,0.22344794960233516
H3+H8,2,0.16220450735693248
H2+H8,2,0.16000656309068795
H3+H7,2,0.02825463407576012
H3+H5,2,0.01704261849415123
H1+H3,2,0.00655459899988875
H1+H7,2,0.0028056676866174968
H1+H5,2,0.0028056676866172747
H2+H4,2,0.0
H2+H6,2,0.0
H5+H7,2,-1.1102230246251565e-16
H4+H6,2,-4.440892098500626e-16
H1+H4+H6,3,1.1528633760100258
H6+H7+H8,3,1.1074986325549832
H1+H6+H8,3,1.0982313513038138
H1+H2+H6,3,1.0556252916474804
H4+H7+H8,3,0.9982570243380948
H1+H4+H8,3,0.9889897430869259
H2+H6+H7,3,0.9675437404078719
H4+H6+H7,3,0.9675437404078719
H1+H3+H6,3,0.9639934031602144
H3+H6+H7,3,0.962158141440399
H2+H4+H7,3,0.9556509646817619
H3+H5+H6,3,0.9521903222208965
H1+H2+H4,3,0.9463836834305925
H5+H6+H8,3,0.9408615483661431
H1+H6+H7,3,0.9327702467217753
H1+H5+H6,3,0.9322555698224828
H5+H6+H7,3,0.9203106679494752
H1+H3+H4,3,0.9159939406676685
H3+H4+H7,3,0.9141586789478535
H3+H4+H5,3,0.9041908597283501
H1+H4+H7,3,0.8927886742615654
H3+H4+H6,3,0.888591149624244
H1+H4+H5,3,0.8852792551868314
H4+H5+H7,3,0.8803290954892655
H3+H6+H8,3,0.833959124918032
H4+H5+H8,3,0.8316199401492552
H2+H5+H6,3,0.8187456983159653
H4+H5+H6,3,0.8187456983159653
H2+H3+H6,3,0.7913530652616974
H2+H4+H5,3,0.7890138804929214
H2+H7+H8,3,0.7620573656108345
H1+H2+H8,3,0.7416750945127744
H2+H5+H8,3,0.734381855786709
H3+H4+H8,3,0.7247175167011433
H2+H3+H4,3,0.6821114570448095
H2+H3+H8,3,0.5922400858120618
H2+H3+H7,3,0.5415155903534989
H1+H2+H3,3,0.5360813089098455
H2+H3+H5,3,0.5292364347982046
H1+H2+H7,3,0.5198086433150069
H1+H2+H5,3,0.5128623768603782
H2+H5+H7,3,0.5073490645427072
H4+H6+H8,3,0.44562794494197533
H2+H6+H8,3,0.42518650738729846
H2+H4+H8,3,0.315944899170411
H5+H7+H8,3,0.29205627292503733
H1+H7+H8,3,0.2809117555977947
H3+H7+H8,3,0.27040812770462264
H1+H5+H8,3,0.260246597695974
H3+H5+H8,3,0.24974296980280197
H1+H3+H8,3,0.238598452475558
H3+H5+H7,3,0.038742653570022156
H1+H3+H7,3,0.028254634075759455
H1+H3+H5,3,0.017042618494151007
H1+H5+H7,3,0.0028056676866172747
H2+H4+H6,3,0.0
